,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
921,Boeing 747-400,Couple Leisure,First Class,London to Cape Town,2018-05-01 00:00:00,4.0,2.0,4.0,3.0,4.0,3,0.0,yes
922,Boeing 747,Solo Leisure,First Class,Miami to Hamburg via London,2018-05-01 00:00:00,3.0,4.0,3.0,0.0,2.0,1,0.0,no
923,None,Solo Leisure,Economy Class,Turin to London Gatwick,2018-05-01 00:00:00,2.0,3.0,1.0,0.0,1.0,1,0.0,no
924,None,Business,Economy Class,Frankfurt to London Cuty,2018-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
925,None,Couple Leisure,Economy Class,London to Madrid,2018-05-01 00:00:00,2.0,1.0,0.0,0.0,1.0,1,1.0,no
926,A380,Business,Business Class,Los Angeles to London Heathrow,2018-05-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
927,A320,Family Leisure,Economy Class,London Heathrow to Mahon,2018-05-01 00:00:00,3.0,2.0,0.0,0.0,1.0,2,0.0,no
928,Boeing 777-200,Business,First Class,Dubai to London Heathrow,2018-05-01 00:00:00,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
929,A380,Solo Leisure,Economy Class,London Heathrow to Singapore,2018-05-01 00:00:00,4.0,3.0,4.0,3.0,4.0,4,0.0,yes
930,None,Couple Leisure,Economy Class,Paris to Newark,2018-05-01 00:00:00,1.0,1.0,0.0,0.0,1.0,1,0.0,no
931,None,Couple Leisure,Economy Class,Heraklion to Gatwick,2018-05-01 00:00:00,1.0,3.0,0.0,0.0,1.0,1,0.0,no
932,Boeing 747 400,Couple Leisure,Premium Economy,Washington to London,2018-05-01 00:00:00,1.0,4.0,2.0,1.0,2.0,1,0.0,no
933,A380,Business,Economy Class,Singapore to London,2018-05-01 00:00:00,4.0,2.0,1.0,1.0,3.0,4,0.0,no
934,Boeing 777-200,Business,Economy Class,Sydney to London via Singapore,2018-05-01 00:00:00,4.0,3.0,1.0,1.0,4.0,4,0.0,no
935,None,Couple Leisure,Business Class,Malaga to Gatwick,2018-05-01 00:00:00,4.0,4.0,4.0,0.0,4.0,4,0.0,yes
936,None,Solo Leisure,Economy Class,Barcelona to Gatwick,2018-05-01 00:00:00,1.0,1.0,0.0,0.0,1.0,2,0.0,no
937,A321,Business,Economy Class,Munich to London,2018-05-01 00:00:00,3.0,5.0,1.0,0.0,3.0,3,0.0,no
938,A320,Solo Leisure,Economy Class,London to Reykjavik ,2018-05-01 00:00:00,4.0,4.0,2.0,0.0,4.0,4,0.0,yes
939,Boeing 747-400,Business,Business Class,Cape Town to London,2018-05-01 00:00:00,3.0,1.0,1.0,1.0,3.0,2,0.0,no
940,Boeing 787 / A320,Couple Leisure,Economy Class,Washington to Prague via London,2018-05-01 00:00:00,1.0,3.0,3.0,4.0,2.0,3,0.0,no
941,Boeing 747,Solo Leisure,First Class,London to Washington,2018-05-01 00:00:00,3.0,2.0,2.0,1.0,4.0,1,0.0,no
942,Boeing 747,Solo Leisure,Economy Class,Washington to Glasgow via London,2018-05-01 00:00:00,4.0,4.0,3.0,3.0,3.0,5,0.0,yes
943,None,Solo Leisure,Economy Class,London to Montreal,2018-03-01 00:00:00,3.0,2.0,1.0,2.0,1.0,1,0.0,no
944,Boeing 777-300ER / A320,Solo Leisure,Economy Class,Tokyo to Amsterdam via London,2018-05-01 00:00:00,2.0,2.0,1.0,1.0,4.0,3,0.0,no
